key,value,timestamp,sentence
Positive,0.0544,"00:12:48,936 --> 00:12:52,271","KOWALSKI: I'm losing visual of you."
Very Positive,0.0208,"00:12:48,936 --> 00:12:52,271","KOWALSKI: I'm losing visual of you."
Very Negative,0.1240,"00:12:48,936 --> 00:12:52,271","In a few seconds I won't be able to track you."
Negative,0.5822,"00:12:48,936 --> 00:12:52,271","In a few seconds I won't be able to track you."
Neutral,0.2152,"00:12:48,936 --> 00:12:52,271","In a few seconds I won't be able to track you."
Positive,0.0625,"00:12:48,936 --> 00:12:52,271","In a few seconds I won't be able to track you."
Very Positive,0.0162,"00:12:48,936 --> 00:12:52,271","In a few seconds I won't be able to track you."
Very Negative,0.0241,"00:12:52,522 --> 00:12:53,481","You need to detach!"
Negative,0.1942,"00:12:52,522 --> 00:12:53,481","You need to detach!"
Neutral,0.6194,"00:12:52,522 --> 00:12:53,481","You need to detach!"
Positive,0.1484,"00:12:52,522 --> 00:12:53,481","You need to detach!"
Very Positive,0.0139,"00:12:52,522 --> 00:12:53,481","You need to detach!"
Very Negative,0.0854,"00:12:53,732 --> 00:12:57,318","- I can't see you anymore."
Negative,0.5518,"00:12:53,732 --> 00:12:57,318","- I can't see you anymore."
Neutral,0.2771,"00:12:53,732 --> 00:12:57,318","- I can't see you anymore."
Positive,0.0718,"00:12:53,732 --> 00:12:57,318","- I can't see you anymore."
Very Positive,0.0139,"00:12:53,732 --> 00:12:57,318","- I can't see you anymore."
Very Negative,0.0004,"00:12:53,732 --> 00:12:57,318","Do it now!"
Negative,0.0038,"00:12:53,732 --> 00:12:57,318","Do it now!"
Neutral,0.9692,"00:12:53,732 --> 00:12:57,318","Do it now!"
Positive,0.0259,"00:12:53,732 --> 00:12:57,318","Do it now!"
Very Positive,0.0007,"00:12:53,732 --> 00:12:57,318","Do it now!"
Very Negative,0.0318,"00:12:53,732 --> 00:12:57,318","STONE: I'm trying!"
Negative,0.1645,"00:12:53,732 --> 00:12:57,318","STONE: I'm trying!"
Neutral,0.4152,"00:12:53,732 --> 00:12:57,318","STONE: I'm trying!"
Positive,0.3350,"00:12:53,732 --> 00:12:57,318","STONE: I'm trying!"
Very Positive,0.0535,"00:12:53,732 --> 00:12:57,318","STONE: I'm trying!"
Very Negative,0.0173,"00:12:53,732 --> 00:12:57,318","I'm trying!"
Negative,0.1036,"00:12:53,732 --> 00:12:57,318","I'm trying!"
Neutral,0.6069,"00:12:53,732 --> 00:12:57,318","I'm trying!"
Positive,0.2473,"00:12:53,732 --> 00:12:57,318","I'm trying!"
Very Positive,0.0249,"00:12:53,732 --> 00:12:57,318","I'm trying!"
Very Negative,0.0410,"00:12:57,861 --> 00:12:59,195","[YELLS]"
Negative,0.2465,"00:12:57,861 --> 00:12:59,195","[YELLS]"
Neutral,0.4790,"00:12:57,861 --> 00:12:59,195","[YELLS]"
Positive,0.1967,"00:12:57,861 --> 00:12:59,195","[YELLS]"
Very Positive,0.0368,"00:12:57,861 --> 00:12:59,195","[YELLS]"
Very Negative,0.1849,"00:12:59,446 --> 00:13:01,405","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Negative,0.5888,"00:12:59,446 --> 00:13:01,405","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Neutral,0.1892,"00:12:59,446 --> 00:13:01,405","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Positive,0.0228,"00:12:59,446 --> 00:13:01,405","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Very Positive,0.0144,"00:12:59,446 --> 00:13:01,405","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Very Negative,0.0508,"00:13:01,657 --> 00:13:02,698","[STONE GASPING]"
Negative,0.3014,"00:13:01,657 --> 00:13:02,698","[STONE GASPING]"
Neutral,0.4278,"00:13:01,657 --> 00:13:02,698","[STONE GASPING]"
Positive,0.1823,"00:13:01,657 --> 00:13:02,698","[STONE GASPING]"
Very Positive,0.0377,"00:13:01,657 --> 00:13:02,698","[STONE GASPING]"
Very Negative,0.1849,"00:13:02,950 --> 00:13:05,701","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Negative,0.5888,"00:13:02,950 --> 00:13:05,701","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Neutral,0.1892,"00:13:02,950 --> 00:13:05,701","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Positive,0.0228,"00:13:02,950 --> 00:13:05,701","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Very Positive,0.0144,"00:13:02,950 --> 00:13:05,701","KOWALSKI: Houston, I've lost visual of Dr. Stone."
Very Negative,0.0205,"00:13:13,752 --> 00:13:15,795","Dr. Stone, do you copy?"
Negative,0.3212,"00:13:13,752 --> 00:13:15,795","Dr. Stone, do you copy?"
Neutral,0.6285,"00:13:13,752 --> 00:13:15,795","Dr. Stone, do you copy?"
Positive,0.0269,"00:13:13,752 --> 00:13:15,795","Dr. Stone, do you copy?"
Very Positive,0.0029,"00:13:13,752 --> 00:13:15,795","Dr. Stone, do you copy?"
Very Negative,0.0584,"00:13:16,046 --> 00:13:17,380","Repeat, do you copy?"
Negative,0.4428,"00:13:16,046 --> 00:13:17,380","Repeat, do you copy?"
Neutral,0.3881,"00:13:16,046 --> 00:13:17,380","Repeat, do you copy?"
Positive,0.0904,"00:13:16,046 --> 00:13:17,380","Repeat, do you copy?"
Very Positive,0.0204,"00:13:16,046 --> 00:13:17,380","Repeat, do you copy?"
Very Negative,0.0953,"00:13:17,631 --> 00:13:20,716","- Yes, yes, yes, I copy!"
Negative,0.3564,"00:13:17,631 --> 00:13:20,716","- Yes, yes, yes, I copy!"
Neutral,0.2457,"00:13:17,631 --> 00:13:20,716","- Yes, yes, yes, I copy!"
Positive,0.2395,"00:13:17,631 --> 00:13:20,716","- Yes, yes, yes, I copy!"
Very Positive,0.0631,"00:13:17,631 --> 00:13:20,716","- Yes, yes, yes, I copy!"
Very Negative,0.0854,"00:13:17,631 --> 00:13:20,716","I'm detached!"
Negative,0.5476,"00:13:17,631 --> 00:13:20,716","I'm detached!"
Neutral,0.3044,"00:13:17,631 --> 00:13:20,716","I'm detached!"
Positive,0.0503,"00:13:17,631 --> 00:13:20,716","I'm detached!"
Very Positive,0.0122,"00:13:17,631 --> 00:13:20,716","I'm detached!"
Very Negative,0.0678,"00:13:17,631 --> 00:13:20,716","KOWALSKI: Give me your position."
Negative,0.2849,"00:13:17,631 --> 00:13:20,716","KOWALSKI: Give me your position."
Neutral,0.2788,"00:13:17,631 --> 00:13:20,716","KOWALSKI: Give me your position."
Positive,0.2954,"00:13:17,631 --> 00:13:20,716","KOWALSKI: Give me your position."
Very Positive,0.0730,"00:13:17,631 --> 00:13:20,716","KOWALSKI: Give me your position."
Very Negative,0.0183,"00:13:20,968 --> 00:13:23,386","I don't know!"
Negative,0.1425,"00:13:20,968 --> 00:13:23,386","I don't know!"
Neutral,0.6669,"00:13:20,968 --> 00:13:23,386","I don't know!"
Positive,0.1584,"00:13:20,968 --> 00:13:23,386","I don't know!"
Very Positive,0.0139,"00:13:20,968 --> 00:13:23,386","I don't know!"
Very Negative,0.0481,"00:13:20,968 --> 00:13:23,386","I don't know, I'm spinning!"
Negative,0.4122,"00:13:20,968 --> 00:13:23,386","I don't know, I'm spinning!"
Neutral,0.4030,"00:13:20,968 --> 00:13:23,386","I don't know, I'm spinning!"
Positive,0.1230,"00:13:20,968 --> 00:13:23,386","I don't know, I'm spinning!"
Very Positive,0.0137,"00:13:20,968 --> 00:13:23,386","I don't know, I'm spinning!"
Very Negative,0.0126,"00:13:20,968 --> 00:13:23,386","I can't...!"
Negative,0.0925,"00:13:20,968 --> 00:13:23,386","I can't...!"
Neutral,0.6461,"00:13:20,968 --> 00:13:23,386","I can't...!"
Positive,0.2322,"00:13:20,968 --> 00:13:23,386","I can't...!"
Very Positive,0.0165,"00:13:20,968 --> 00:13:23,386","I can't...!"
Very Negative,0.0380,"00:13:23,637 --> 00:13:24,804","KOWALSKI: Report your position."
Negative,0.2300,"00:13:23,637 --> 00:13:24,804","KOWALSKI: Report your position."
Neutral,0.4641,"00:13:23,637 --> 00:13:24,804","KOWALSKI: Report your position."
Positive,0.2355,"00:13:23,637 --> 00:13:24,804","KOWALSKI: Report your position."
Very Positive,0.0323,"00:13:23,637 --> 00:13:24,804","KOWALSKI: Report your position."
Very Negative,0.0745,"00:13:25,055 --> 00:13:27,974","GPS is down."
Negative,0.4562,"00:13:25,055 --> 00:13:27,974","GPS is down."
Neutral,0.3492,"00:13:25,055 --> 00:13:27,974","GPS is down."
Positive,0.0948,"00:13:25,055 --> 00:13:27,974","GPS is down."
Very Positive,0.0253,"00:13:25,055 --> 00:13:27,974","GPS is down."
Very Negative,0.1013,"00:13:25,055 --> 00:13:27,974","I can't... It's down, I can't..."
Negative,0.5898,"00:13:25,055 --> 00:13:27,974","I can't... It's down, I can't..."
Neutral,0.2165,"00:13:25,055 --> 00:13:27,974","I can't... It's down, I can't..."
Positive,0.0735,"00:13:25,055 --> 00:13:27,974","I can't... It's down, I can't..."
Very Positive,0.0188,"00:13:25,055 --> 00:13:27,974","I can't... It's down, I can't..."
Very Negative,0.0255,"00:13:28,225 --> 00:13:31,435","KOWALSKI: Give me a visual."
Negative,0.0989,"00:13:28,225 --> 00:13:31,435","KOWALSKI: Give me a visual."
Neutral,0.2508,"00:13:28,225 --> 00:13:31,435","KOWALSKI: Give me a visual."
Positive,0.5290,"00:13:28,225 --> 00:13:31,435","KOWALSKI: Give me a visual."
Very Positive,0.0958,"00:13:28,225 --> 00:13:31,435","KOWALSKI: Give me a visual."
Very Negative,0.0945,"00:13:28,225 --> 00:13:31,435","- I told you, nothing."
Negative,0.5985,"00:13:28,225 --> 00:13:31,435","- I told you, nothing."
Neutral,0.2441,"00:13:28,225 --> 00:13:31,435","- I told you, nothing."
Positive,0.0514,"00:13:28,225 --> 00:13:31,435","- I told you, nothing."
Very Positive,0.0115,"00:13:28,225 --> 00:13:31,435","- I told you, nothing."
Very Negative,0.1168,"00:13:28,225 --> 00:13:31,435","I see nothing!"
Negative,0.4378,"00:13:28,225 --> 00:13:31,435","I see nothing!"
Neutral,0.2329,"00:13:28,225 --> 00:13:31,435","I see nothing!"
Positive,0.1613,"00:13:28,225 --> 00:13:31,435","I see nothing!"
Very Positive,0.0513,"00:13:28,225 --> 00:13:31,435","I see nothing!"
Very Negative,0.0335,"00:13:31,687 --> 00:13:33,562","KOWALSKI: Do you have a visual of Explorer?"
Negative,0.3009,"00:13:31,687 --> 00:13:33,562","KOWALSKI: Do you have a visual of Explorer?"
Neutral,0.5708,"00:13:31,687 --> 00:13:33,562","KOWALSKI: Do you have a visual of Explorer?"
Positive,0.0815,"00:13:31,687 --> 00:13:33,562","KOWALSKI: Do you have a visual of Explorer?"
Very Positive,0.0133,"00:13:31,687 --> 00:13:33,562","KOWALSKI: Do you have a visual of Explorer?"
Very Negative,0.0212,"00:13:31,687 --> 00:13:33,562","- No."
Negative,0.2623,"00:13:31,687 --> 00:13:33,562","- No."
Neutral,0.6831,"00:13:31,687 --> 00:13:33,562","- No."
Positive,0.0295,"00:13:31,687 --> 00:13:33,562","- No."
Very Positive,0.0039,"00:13:31,687 --> 00:13:33,562","- No."
Very Negative,0.0335,"00:13:33,814 --> 00:13:35,481","KOWALSKI: Do you have a visual of ISS?"
Negative,0.3009,"00:13:33,814 --> 00:13:35,481","KOWALSKI: Do you have a visual of ISS?"
Neutral,0.5708,"00:13:33,814 --> 00:13:35,481","KOWALSKI: Do you have a visual of ISS?"
Positive,0.0815,"00:13:33,814 --> 00:13:35,481","KOWALSKI: Do you have a visual of ISS?"
Very Positive,0.0133,"00:13:33,814 --> 00:13:35,481","KOWALSKI: Do you have a visual of ISS?"
Very Negative,0.0212,"00:13:33,814 --> 00:13:35,481","- No."
Negative,0.2623,"00:13:33,814 --> 00:13:35,481","- No."
Neutral,0.6831,"00:13:33,814 --> 00:13:35,481","- No."
Positive,0.0295,"00:13:33,814 --> 00:13:35,481","- No."
Very Positive,0.0039,"00:13:33,814 --> 00:13:35,481","- No."
Very Negative,0.0533,"00:13:35,732 --> 00:13:39,110","KOWALSKI: You need to focus."
Negative,0.3279,"00:13:35,732 --> 00:13:39,110","KOWALSKI: You need to focus."
Neutral,0.4314,"00:13:35,732 --> 00:13:39,110","KOWALSKI: You need to focus."
Positive,0.1556,"00:13:35,732 --> 00:13:39,110","KOWALSKI: You need to focus."
Very Positive,0.0318,"00:13:35,732 --> 00:13:39,110","KOWALSKI: You need to focus."
Very Negative,0.2309,"00:13:35,732 --> 00:13:39,110","Anything, use the sun and the Earth, give me coordinates."
Negative,0.5200,"00:13:35,732 --> 00:13:39,110","Anything, use the sun and the Earth, give me coordinates."
Neutral,0.0965,"00:13:35,732 --> 00:13:39,110","Anything, use the sun and the Earth, give me coordinates."
Positive,0.0817,"00:13:35,732 --> 00:13:39,110","Anything, use the sun and the Earth, give me coordinates."
Very Positive,0.0709,"00:13:35,732 --> 00:13:39,110","Anything, use the sun and the Earth, give me coordinates."
Very Negative,0.0263,"00:13:39,361 --> 00:13:41,904","- I can't breathe!"
Negative,0.2216,"00:13:39,361 --> 00:13:41,904","- I can't breathe!"
Neutral,0.5992,"00:13:39,361 --> 00:13:41,904","- I can't breathe!"
Positive,0.1411,"00:13:39,361 --> 00:13:41,904","- I can't breathe!"
Very Positive,0.0118,"00:13:39,361 --> 00:13:41,904","- I can't breathe!"
Very Negative,0.0251,"00:13:39,361 --> 00:13:41,904","I can't breathe!"
Negative,0.1716,"00:13:39,361 --> 00:13:41,904","I can't breathe!"
Neutral,0.5180,"00:13:39,361 --> 00:13:41,904","I can't breathe!"
Positive,0.2606,"00:13:39,361 --> 00:13:41,904","I can't breathe!"
Very Positive,0.0247,"00:13:39,361 --> 00:13:41,904","I can't breathe!"
Very Negative,0.0286,"00:13:39,361 --> 00:13:41,904","KOWALSKI: Give me coordinates!"
Negative,0.0902,"00:13:39,361 --> 00:13:41,904","KOWALSKI: Give me coordinates!"
Neutral,0.1780,"00:13:39,361 --> 00:13:41,904","KOWALSKI: Give me coordinates!"
Positive,0.5681,"00:13:39,361 --> 00:13:41,904","KOWALSKI: Give me coordinates!"
Very Positive,0.1352,"00:13:39,361 --> 00:13:41,904","KOWALSKI: Give me coordinates!"
Very Negative,0.0410,"00:13:42,155 --> 00:13:42,905","[GASPING]"
Negative,0.2465,"00:13:42,155 --> 00:13:42,905","[GASPING]"
Neutral,0.4790,"00:13:42,155 --> 00:13:42,905","[GASPING]"
Positive,0.1967,"00:13:42,155 --> 00:13:42,905","[GASPING]"
Very Positive,0.0368,"00:13:42,155 --> 00:13:42,905","[GASPING]"
Very Negative,0.0598,"00:13:43,156 --> 00:13:44,699","KOWALSKI: Dr. Stone, do you copy?"
Negative,0.4480,"00:13:43,156 --> 00:13:44,699","KOWALSKI: Dr. Stone, do you copy?"
Neutral,0.4061,"00:13:43,156 --> 00:13:44,699","KOWALSKI: Dr. Stone, do you copy?"
Positive,0.0707,"00:13:43,156 --> 00:13:44,699","KOWALSKI: Dr. Stone, do you copy?"
Very Positive,0.0154,"00:13:43,156 --> 00:13:44,699","KOWALSKI: Dr. Stone, do you copy?"
Very Negative,0.0587,"00:14:09,391 --> 00:14:11,559","[CONTINUES GASPING]"
Negative,0.3461,"00:14:09,391 --> 00:14:11,559","[CONTINUES GASPING]"
Neutral,0.4023,"00:14:09,391 --> 00:14:11,559","[CONTINUES GASPING]"
Positive,0.1572,"00:14:09,391 --> 00:14:11,559","[CONTINUES GASPING]"
Very Positive,0.0357,"00:14:09,391 --> 00:14:11,559","[CONTINUES GASPING]"
Very Negative,0.0185,"00:14:39,004 --> 00:14:41,756","Kowalski?"
Negative,0.2084,"00:14:39,004 --> 00:14:41,756","Kowalski?"
Neutral,0.6845,"00:14:39,004 --> 00:14:41,756","Kowalski?"
Positive,0.0782,"00:14:39,004 --> 00:14:41,756","Kowalski?"
Very Positive,0.0104,"00:14:39,004 --> 00:14:41,756","Kowalski?"
Very Negative,0.0765,"00:14:39,004 --> 00:14:41,756","Kowalski, do you copy?"
Negative,0.4475,"00:14:39,004 --> 00:14:41,756","Kowalski, do you copy?"
Neutral,0.3307,"00:14:39,004 --> 00:14:41,756","Kowalski, do you copy?"
Positive,0.1138,"00:14:39,004 --> 00:14:41,756","Kowalski, do you copy?"
Very Positive,0.0315,"00:14:39,004 --> 00:14:41,756","Kowalski, do you copy?"
Very Negative,0.1241,"00:14:43,050 --> 00:14:46,886","Kowals... I have a vis... Kowalski, I have a visual."
Negative,0.2931,"00:14:43,050 --> 00:14:46,886","Kowals... I have a vis... Kowalski, I have a visual."
Neutral,0.1135,"00:14:43,050 --> 00:14:46,886","Kowals... I have a vis... Kowalski, I have a visual."
Positive,0.2895,"00:14:43,050 --> 00:14:46,886","Kowals... I have a vis... Kowalski, I have a visual."
Very Positive,0.1796,"00:14:43,050 --> 00:14:46,886","Kowals... I have a vis... Kowalski, I have a visual."
Very Negative,0.0275,"00:14:47,137 --> 00:14:49,805","I have a visual of Explorer."
Negative,0.1412,"00:14:47,137 --> 00:14:49,805","I have a visual of Explorer."
Neutral,0.4744,"00:14:47,137 --> 00:14:49,805","I have a visual of Explorer."
Positive,0.3149,"00:14:47,137 --> 00:14:49,805","I have a visual of Explorer."
Very Positive,0.0420,"00:14:47,137 --> 00:14:49,805","I have a visual of Explorer."
Very Negative,0.0197,"00:14:50,057 --> 00:14:53,642","With north at 12 o'clock..."
Negative,0.1726,"00:14:50,057 --> 00:14:53,642","With north at 12 o'clock..."
Neutral,0.7036,"00:14:50,057 --> 00:14:53,642","With north at 12 o'clock..."
Positive,0.0938,"00:14:50,057 --> 00:14:53,642","With north at 12 o'clock..."
Very Positive,0.0103,"00:14:50,057 --> 00:14:53,642","With north at 12 o'clock..."
Very Negative,0.0272,"00:14:54,102 --> 00:14:57,063","...and the shuttle is at the center of the dial."
Negative,0.2087,"00:14:54,102 --> 00:14:57,063","...and the shuttle is at the center of the dial."
Neutral,0.5927,"00:14:54,102 --> 00:14:57,063","...and the shuttle is at the center of the dial."
Positive,0.1543,"00:14:54,102 --> 00:14:57,063","...and the shuttle is at the center of the dial."
Very Positive,0.0170,"00:14:54,102 --> 00:14:57,063","...and the shuttle is at the center of the dial."
Very Negative,0.0080,"00:14:59,524 --> 00:15:02,193","I can see the Chinese station."
Negative,0.0349,"00:14:59,524 --> 00:15:02,193","I can see the Chinese station."
Neutral,0.4384,"00:14:59,524 --> 00:15:02,193","I can see the Chinese station."
Positive,0.4748,"00:14:59,524 --> 00:15:02,193","I can see the Chinese station."
Very Positive,0.0439,"00:14:59,524 --> 00:15:02,193","I can see the Chinese station."
Very Negative,0.0521,"00:15:03,278 --> 00:15:05,696","No, it's the International Space Station."
Negative,0.3853,"00:15:03,278 --> 00:15:05,696","No, it's the International Space Station."
Neutral,0.5221,"00:15:03,278 --> 00:15:05,696","No, it's the International Space Station."
Positive,0.0321,"00:15:03,278 --> 00:15:05,696","No, it's the International Space Station."
Very Positive,0.0083,"00:15:03,278 --> 00:15:05,696","No, it's the International Space Station."
Very Negative,0.0123,"00:15:06,323 --> 00:15:07,907","ISS is at..."
Negative,0.0749,"00:15:06,323 --> 00:15:07,907","ISS is at..."
Neutral,0.7229,"00:15:06,323 --> 00:15:07,907","ISS is at..."
Positive,0.1712,"00:15:06,323 --> 00:15:07,907","ISS is at..."
Very Positive,0.0188,"00:15:06,323 --> 00:15:07,907","ISS is at..."
Very Negative,0.0899,"00:15:09,117 --> 00:15:11,702","ISS is at 7 o'clock."
Negative,0.5052,"00:15:09,117 --> 00:15:11,702","ISS is at 7 o'clock."
Neutral,0.3209,"00:15:09,117 --> 00:15:11,702","ISS is at 7 o'clock."
Positive,0.0637,"00:15:09,117 --> 00:15:11,702","ISS is at 7 o'clock."
Very Positive,0.0203,"00:15:09,117 --> 00:15:11,702","ISS is at 7 o'clock."
Very Negative,0.0435,"00:15:19,544 --> 00:15:21,796","Lieutenant Kowalski, do you copy?"
Negative,0.4875,"00:15:19,544 --> 00:15:21,796","Lieutenant Kowalski, do you copy?"
Neutral,0.4245,"00:15:19,544 --> 00:15:21,796","Lieutenant Kowalski, do you copy?"
Positive,0.0377,"00:15:19,544 --> 00:15:21,796","Lieutenant Kowalski, do you copy?"
Very Positive,0.0067,"00:15:19,544 --> 00:15:21,796","Lieutenant Kowalski, do you copy?"
Very Negative,0.0765,"00:15:27,427 --> 00:15:29,428","Explorer, do you copy?"
Negative,0.4475,"00:15:27,427 --> 00:15:29,428","Explorer, do you copy?"
Neutral,0.3307,"00:15:27,427 --> 00:15:29,428","Explorer, do you copy?"
Positive,0.1138,"00:15:27,427 --> 00:15:29,428","Explorer, do you copy?"
Very Positive,0.0315,"00:15:27,427 --> 00:15:29,428","Explorer, do you copy?"
Very Negative,0.0765,"00:15:38,563 --> 00:15:40,773","Houston, do you copy?"
Negative,0.4475,"00:15:38,563 --> 00:15:40,773","Houston, do you copy?"
Neutral,0.3307,"00:15:38,563 --> 00:15:40,773","Houston, do you copy?"
Positive,0.1138,"00:15:38,563 --> 00:15:40,773","Houston, do you copy?"
Very Positive,0.0315,"00:15:38,563 --> 00:15:40,773","Houston, do you copy?"
Very Negative,0.1094,"00:15:45,112 --> 00:15:48,155","Houston, this is Mission Specialist Ryan Stone."
Negative,0.4283,"00:15:45,112 --> 00:15:48,155","Houston, this is Mission Specialist Ryan Stone."
Neutral,0.2157,"00:15:45,112 --> 00:15:48,155","Houston, this is Mission Specialist Ryan Stone."
Positive,0.1872,"00:15:45,112 --> 00:15:48,155","Houston, this is Mission Specialist Ryan Stone."
Very Positive,0.0594,"00:15:45,112 --> 00:15:48,155","Houston, this is Mission Specialist Ryan Stone."
Very Negative,0.1963,"00:15:48,406 --> 00:15:52,368","I am off structure and I am drifting."
Negative,0.6335,"00:15:48,406 --> 00:15:52,368","I am off structure and I am drifting."
Neutral,0.1388,"00:15:48,406 --> 00:15:52,368","I am off structure and I am drifting."
Positive,0.0179,"00:15:48,406 --> 00:15:52,368","I am off structure and I am drifting."
Very Positive,0.0135,"00:15:48,406 --> 00:15:52,368","I am off structure and I am drifting."
Very Negative,0.0196,"00:15:48,406 --> 00:15:52,368","Do you copy?"
Negative,0.3102,"00:15:48,406 --> 00:15:52,368","Do you copy?"
Neutral,0.6414,"00:15:48,406 --> 00:15:52,368","Do you copy?"
Positive,0.0255,"00:15:48,406 --> 00:15:52,368","Do you copy?"
Very Positive,0.0033,"00:15:48,406 --> 00:15:52,368","Do you copy?"
Very Negative,0.0606,"00:15:58,542 --> 00:15:59,834","Anyone...?"
Negative,0.5170,"00:15:58,542 --> 00:15:59,834","Anyone...?"
Neutral,0.2331,"00:15:58,542 --> 00:15:59,834","Anyone...?"
Positive,0.1632,"00:15:58,542 --> 00:15:59,834","Anyone...?"
Very Positive,0.0262,"00:15:58,542 --> 00:15:59,834","Anyone...?"
Very Negative,0.0103,"00:16:04,005 --> 00:16:05,506","Anybody...?"
Negative,0.0903,"00:16:04,005 --> 00:16:05,506","Anybody...?"
Neutral,0.8161,"00:16:04,005 --> 00:16:05,506","Anybody...?"
Positive,0.0750,"00:16:04,005 --> 00:16:05,506","Anybody...?"
Very Positive,0.0084,"00:16:04,005 --> 00:16:05,506","Anybody...?"
Very Negative,0.0196,"00:16:08,093 --> 00:16:09,635","Do you copy?"
Negative,0.3102,"00:16:08,093 --> 00:16:09,635","Do you copy?"
Neutral,0.6414,"00:16:08,093 --> 00:16:09,635","Do you copy?"
Positive,0.0255,"00:16:08,093 --> 00:16:09,635","Do you copy?"
Very Positive,0.0033,"00:16:08,093 --> 00:16:09,635","Do you copy?"
Very Negative,0.0442,"00:16:13,598 --> 00:16:15,182","Please copy."
Negative,0.4218,"00:16:13,598 --> 00:16:15,182","Please copy."
Neutral,0.4995,"00:16:13,598 --> 00:16:15,182","Please copy."
Positive,0.0300,"00:16:13,598 --> 00:16:15,182","Please copy."
Very Positive,0.0045,"00:16:13,598 --> 00:16:15,182","Please copy."
Very Negative,0.0059,"00:16:17,561 --> 00:16:18,769","Please."
Negative,0.0456,"00:16:17,561 --> 00:16:18,769","Please."
Neutral,0.9184,"00:16:17,561 --> 00:16:18,769","Please."
Positive,0.0277,"00:16:17,561 --> 00:16:18,769","Please."
Very Positive,0.0024,"00:16:17,561 --> 00:16:18,769","Please."
Very Negative,0.0598,"00:16:38,623 --> 00:16:39,915","KOWALSKI: Dr. Stone, do you copy?"
Negative,0.4480,"00:16:38,623 --> 00:16:39,915","KOWALSKI: Dr. Stone, do you copy?"
Neutral,0.4061,"00:16:38,623 --> 00:16:39,915","KOWALSKI: Dr. Stone, do you copy?"
Positive,0.0707,"00:16:38,623 --> 00:16:39,915","KOWALSKI: Dr. Stone, do you copy?"
Very Positive,0.0154,"00:16:38,623 --> 00:16:39,915","KOWALSKI: Dr. Stone, do you copy?"
Very Negative,0.0856,"00:16:40,167 --> 00:16:43,252","STONE: Yeah, Lieutenant Kowalski, yes."
Negative,0.4081,"00:16:40,167 --> 00:16:43,252","STONE: Yeah, Lieutenant Kowalski, yes."
Neutral,0.2962,"00:16:40,167 --> 00:16:43,252","STONE: Yeah, Lieutenant Kowalski, yes."
Positive,0.1652,"00:16:40,167 --> 00:16:43,252","STONE: Yeah, Lieutenant Kowalski, yes."
Very Positive,0.0450,"00:16:40,167 --> 00:16:43,252","STONE: Yeah, Lieutenant Kowalski, yes."
Very Negative,0.0540,"00:16:40,167 --> 00:16:43,252","Yes, Lieutenant Kowalski, I'm here!"
Negative,0.3198,"00:16:40,167 --> 00:16:43,252","Yes, Lieutenant Kowalski, I'm here!"
Neutral,0.3202,"00:16:40,167 --> 00:16:43,252","Yes, Lieutenant Kowalski, I'm here!"
Positive,0.2667,"00:16:40,167 --> 00:16:43,252","Yes, Lieutenant Kowalski, I'm here!"
Very Positive,0.0393,"00:16:40,167 --> 00:16:43,252","Yes, Lieutenant Kowalski, I'm here!"
Very Negative,0.1073,"00:16:43,503 --> 00:16:46,630","KOWALSKI: Repeat, do you copy?"
Negative,0.5253,"00:16:43,503 --> 00:16:46,630","KOWALSKI: Repeat, do you copy?"
Neutral,0.2368,"00:16:43,503 --> 00:16:46,630","KOWALSKI: Repeat, do you copy?"
Positive,0.0947,"00:16:43,503 --> 00:16:46,630","KOWALSKI: Repeat, do you copy?"
Very Positive,0.0359,"00:16:43,503 --> 00:16:46,630","KOWALSKI: Repeat, do you copy?"
Very Negative,0.1576,"00:16:43,503 --> 00:16:46,630","STONE: Yes, yes, I copy, I'm here."
Negative,0.5378,"00:16:43,503 --> 00:16:46,630","STONE: Yes, yes, I copy, I'm here."
Neutral,0.1946,"00:16:43,503 --> 00:16:46,630","STONE: Yes, yes, I copy, I'm here."
Positive,0.0700,"00:16:43,503 --> 00:16:46,630","STONE: Yes, yes, I copy, I'm here."
Very Positive,0.0400,"00:16:43,503 --> 00:16:46,630","STONE: Yes, yes, I copy, I'm here."
Very Negative,0.0318,"00:16:43,503 --> 00:16:46,630","I'm here."
Negative,0.1868,"00:16:43,503 --> 00:16:46,630","I'm here."
Neutral,0.5439,"00:16:43,503 --> 00:16:46,630","I'm here."
Positive,0.2099,"00:16:43,503 --> 00:16:46,630","I'm here."
Very Positive,0.0276,"00:16:43,503 --> 00:16:46,630","I'm here."
Very Negative,0.0455,"00:16:46,882 --> 00:16:48,174","KOWALSKI: Flash your light."
Negative,0.1678,"00:16:46,882 --> 00:16:48,174","KOWALSKI: Flash your light."
Neutral,0.2675,"00:16:46,882 --> 00:16:48,174","KOWALSKI: Flash your light."
Positive,0.4180,"00:16:46,882 --> 00:16:48,174","KOWALSKI: Flash your light."
Very Positive,0.1012,"00:16:46,882 --> 00:16:48,174","KOWALSKI: Flash your light."
